"
","
"
intent (DONT TRANSLATE): action_hotel-inform,intent (DONT TRANSLATE): action_hotel-inform
temp action message,"messaġġ ta"" azzjoni temp"
"
","
"
intent (DONT TRANSLATE): utter_hotel-request-area,intent (DONT TRANSLATE): utter_hotel-request-area
what are would you like to stay in,x'tixtieq tibqa'
did you want the hotel to be in the centre area also,int tixtieq li l-lukanda tkun fiż-żona ċentrali wkoll
what area would you prefer,liema qasam jippreferi
alright is there a certain area you would like to stay in,"liema parti tal belt għandek [ interess fil ]{""entity"":"" area""}[ Lvant ]{""entity"":"" area""}"
not a problem do you have a preference on area,għalhekk ċerta żona tixtieq tibqa'
the postcode of the restaurant is {postcode} i can help you find a place to stay did you have a certain area in mind,mhux problema għandek preferenza fil-qasam
what area should it be in,"il konsegwenzi tal [ konsenja huma cb11lh ]{""entity"":"" postcode""} li tista' tgħin biex issib post fejn toqgħod ."
id be happy to help may i ask what price range and area of town you are looking for,liema qasam għandu jkun
yes i can certainly help you with that is there an area of town you prefer to stay in and do you have a price range in mind,għandek tgħin biex tistaqsi liema medda ta' prezzijiet u żona tal-belt qed tfittex
do you have a certain area you would like,iva ċertament nista' ngħinlek b'dan il-mod f'żona ta' bliet li jippreferu jibqgħu u jkollok firxa ta' prezzijiet f'moħħhom
what area of town do you prefer,għandek ċerta żona li tixtieq
what area would you like to stay in,liema żona ta' bliet tippreferi
what area of town would you like to be in,liema żona tixtieq tibqa'
what area of town and price range would you prefer,liema żona tal-belt tixtieq tkun fi
sure what area and price range are you looking for,liema żona tal-belt u l-firxa tal-prezzijiet tippreferi
okay what part of town would you like to stay in,assigura liema żona u firxa ta' prezzijiet qed tfittex
yes i can help with that what area would you like to stay in,liema parti tal-belt tixtieq tibqa'
which area would you like to stay in,"iva, nista' ngħin lil dik iż-żona li tixtieq tibqa'"
which are would you like to stay in,liema żona tixtieq tibqa'
what part of town are you wanting to stay in,li tixtieq tibqa'
is there a particular side of town you prefer,liema parti tal-belt trid tibqa' fil-
do you prefer a particular area of town or price range,is there a particular side of town you prefer
i have several with available booking may i have an area and a price range that you are interested in,do you prefer a particular area of town or price range
is there a certain area you would like to be in,għandek ħafna bi prezzijiet disponibbli jista' jkollok żona u medda ta' prezzijiet li inti interessat fiha
is there a certain area or price range you had in mind,hemm ċerta żona li tixtieq tkun
lets find you a great place in the city do you have a preference on what area in town,is there a certain area or price range you had in mind
