"
","
"
intent (DONT TRANSLATE): greet,intent (DONT TRANSLATE): greet
- hi,- hi
- hello,- ir-Repubblika Ċeka
"
","
"
intent (DONT TRANSLATE): hotel-inform,intent (DONT TRANSLATE): hotel-inform
"- im looking for a place to stay it needs to be a [guesthouse]{""entity"": ""type""} and include free wifi","- it tfittxija għal post ta' żjara jeħtieġ li jkun post ta' [ kenn u ]{""entity"": ""type""} jinkludi post ħieles"
"- i would like for it to be [cheap]{""entity"": ""pricerange""} and include free parking","- i would like for it to be [ cheap and ]{""entity"": ""pricerange""} include free parking"
"- nothing in particular i just need it booked for [6]{""entity"": ""bookpeople""} people for a total of [4]{""entity"": ""bookstay""} nights starting from [sunday]{""entity"":"" bookday""} id also like the reference number please","- nothing in particular i just need it booked for [ 6 id ]{""entity"": ""bookpeople""} also like the reference number please"
"- well for [six]{""entity"":"" bookpeople""} people i suppose i will be needing three rooms for [four]{""entity"":"" bookstay""} nights starting [sunday]{""entity"":"" bookday""}","- għal [ sitta ]{""entity"":"" bookday""}"
"- i need to find a [guesthouse]{""entity"": ""type""} style hotel please","- għandek bżonn issib vawċer tal istil [ tal ħajja ]{""entity"": ""type""} f'kamra jekk jogħġbok"
"- what is its star rating i am looking for a place with a star of [0]{""entity"":"" stars""}","- x'inhi l klassifikazzjoni tal stilla tiegħu li qed ifittex post b'stilla ta' [ 0 ]{""entity"":"" stars""}"
- which one has free parking and wifi i will need a phone number price range and area as well please,- li wieħed għandu l-ipparkjar u l-ipparkjar bla ħlas se jkollu bżonn firxa u żona tal-prezz tan-numru tat-telefon ukoll jekk jogħġbok
"- i also need to [hotel]{""entity"": ""type""} to stay at in the [centre]{""entity"":"" area""}","- għandna bżonn ukoll li [ nippreservaw ]{""entity"":"" area""}"
- no price range it doesnt have to have internet though,- l-ebda medda ta' prezzijiet ma jrid ikollha l-internet għalkemm
"- are they all [hotel]{""entity"":"" type""} s or guesthouses","- għandna bżonn ukoll li [ nippreservaw ]{""entity"":"" area""}"
- sure can i get one with free wifi please,- jekk jogħġbok żgur li jista' jkollok waħda b'saħħitha jekk jogħġbok
"- no just book me rooms for [six]{""entity"":"" bookpeople""} people for [two]{""entity"":"" bookstay""} nights","- no just book me [ rooms for ]{""entity"":"" bookpeople""}[ six nights ]{""entity"":"" bookstay""}"
"- can you book me a room for [1]{""entity"": ""bookstay""} night instead","- tista' tniżżel miegħi kamra għal [ lejl wieħed ]{""entity"": ""bookstay""} minflok"
"- thank you i would also like a taxi to commute between the [hotel]{""entity"": ""type""} and restaurant","- għandek tiġbed ukoll l attenzjoni tiegħek għall fatt li tista' tivvjaġġa bejn il [ vawċer u l vawċer . ]{""entity"": ""type""}"
"- i will be departing from the [hotel]{""entity"": ""type""} and going to the restaurant i need to be there in time for my reservation","- i will be departing from the [ hotel and ]{""entity"": ""type""} going to the Italian i need to be there in time for my reservation"
"- im looking for a place to stay in the [south]{""entity"": ""area""} of town it doesnt need to have free parking","- i will be departing from the [ hotel and ]{""entity"": ""type""} going to the Italian i need to be there in time for my reservation"
"- i dont care about the star rating as long as its [expensive]{""entity"":"" pricerange""}","- i dont care about the star rating as long as its [ expensive ]{""entity"":"" pricerange""}"
- that is perfect can you book that for me please,- għalija jekk jogħġbok
"- thank you can you make sure that its for [5]{""entity"": ""bookpeople""} people staying for [two]{""entity"":"" bookstay""} nights starting [saturday]{""entity"":"" bookday""} also would you mind sending me the reference number","- wieħed jista' jiżgura li għal [ 5 jifhem ]{""entity"": ""bookpeople""} ukoll li jibgħatli n numru ta' referenza"
"- yes i also need a hotel room with free wifi also in [centre]{""entity"":"" area""} [4]{""entity"": ""stars""} star and [expensive]{""entity"": ""pricerange""} please","- iva għandek bżonn ukoll kamra tal lukandi b'ħanut ħieles ukoll [ fiċ ċentru tiegħek ]{""entity"":"" area""} jekk jogħġbok"
"- i am looking for a [hotel]{""entity"":"" type""}","- jien qed infittex [ lukanda ]{""entity"":"" type""}"
"- i actually need a place that has free wifi and is in the [south]{""entity"": ""area""} part of town and it needs to be a [hotel]{""entity"":"" type""} not a guesthouse","- fil fatt għandu bżonn post li għandu ħieles u jinsab [ fin nofsinhar mhux ]{""entity"": ""area""} ġewwa ċ ċentru"
"- thank you for booking that could you please book me a taxi to leave from the [centre of town at my hotel]{""entity"": ""departure""} to the [sala thong]{""entity"": ""destination""} for [saturday]{""entity"": ""bookday""} at [11:30]{""entity"":"" leaveat""}","- tajjeb li wieħed jiftakar li tista' jekk jogħġbok iktebni taxi biex [ toħroġ miċ ċentru tal belt fil lukanda tiegħi ]{""entity"": ""departure""}"
"- i need a place to stay i would like it in the same price range as the restaurant with free wifi and parking located in the [east]{""entity"":"" area""}","- i għandhom bżonn post biex jibqgħu jixtiequ fl istess medda ta' prezzijiet bħall Ħonduras b'ħieles u parkeġġ li jinsabu fil [ Lvant ]{""entity"":"" area""}"
"- yes please book it for [2]{""entity"": ""bookpeople""} people on [saturday]{""entity"": ""bookday""} for [4]{""entity"": ""bookstay""} nights will you give me the confirmation number when that is complete","- i għandhom bżonn post biex jibqgħu jixtiequ fl istess medda ta' prezzijiet bħall Ħonduras b'ħieles u parkeġġ li jinsabu fil [ Lvant ]{""entity"":"" area""}"
"- i need help finding the [aylesbray lodge guest house]{""entity"":"" name""} would you be able to give me the address and phone number","- għandek tgħin biex issib l [ istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment ]{""entity"":"" name""} tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment tal istabbiliment ."
"- not now thanks heres a weird one though are there any [expensive]{""entity"": ""pricerange""} [0]{""entity"":"" stars""} star hotels in the [center]{""entity"":"" area""} of town","- għalkemm għad hemm [ ħafna flus għall ]{""entity"": ""pricerange""} bliet"
"- do you have a hotel in the [moderate]{""entity"": ""pricerange""} price range","- għandek vojt fil medda [ moderata tal ]{""entity"": ""pricerange""} prezzijiet"
"- that sounds nice yes please book a room for [3]{""entity"": ""bookpeople""} guests staying for [5]{""entity"": ""bookstay""} nights starting on [sunday]{""entity"":"" bookday""}","- dak il [ proċess iva ]{""entity"": ""bookstay""} , jekk jogħġbok ikteb kamra għal [ 3 ]{""entity"":"" bookday""}"
"- how about just for the [one]{""entity"":"" bookstay""} night","- kif għandek biss [ tgħaddi lejl ]{""entity"":"" bookstay""}"
"- im looking for a place to stay id like to stay in a [guesthouse]{""entity"": ""type""} that doesnt need to include internet","- it tfittxija għal post li jkun jixtieq jibqa' [ f'kamra li ]{""entity"": ""type""} jkollha bżonn tinkludi l internet"
"- is that in the [center]{""entity"":"" area""} of town i do need to be in the center","- hija li fl [ għoljiet tal ]{""entity"":"" area""} belt għandna bżonn inkunu fil gżira"
"- yes please make my reservation at the [alexander bed and breakfast]{""entity"":"" name""}","- iva jekk jogħġbok agħmel ir riżerva tiegħi f'qiegħ il [ bastiment tat tbaħħir u f'qiegħ il bastiment ]{""entity"":"" name""}"
"- yes i am also looking for a hotel called [gonville hotel]{""entity"":"" name""}","- iva qed infittex ukoll vawċer imsejjaħ [ gonvillean ]{""entity"":"" name""}"
"- yes please we will check in after we eat at the royal standard and stay for [five]{""entity"":"" bookstay""} nights","- iva jekk jogħġbok se niċċekkja wara li nkun iċċekkjajna fuq l istandard ta' l irqad u nibqgħu għal [ ħamest iljieli ]{""entity"":"" bookstay""} ."
"- i am trying to find a hotel in cambridge called the [hamilton lodge]{""entity"":"" name""}","- jien qed nipprova nistaqsi lil xi ħadd fil pont imsejjaħ l istituzzjoni tal ivvjaġġar [ għall ivvjaġġar ]{""entity"":"" name""}"
"- yes i would like to book for [5]{""entity"": ""bookstay""} nights starting [tuesday]{""entity"": ""bookday""} with a total of [6]{""entity"": ""bookpeople""} people can i have the reference number","- iva nixtieq infakkar għal [ 5 persuni ]{""entity"": ""bookstay""} li jista' jkollhom in numru ta' referenza"
"- i am looking for a [cheap]{""entity"": ""pricerange""} hotel with free parking near cambridge","- jien qed infittex vawċer [ irħis b'ipparkjar ]{""entity"": ""pricerange""} ħieles ħdejn il pont tal baħar"
"- id like to stay close to the center area but the hotel should be [3]{""entity"": ""stars""} star","- nixtieq li nibqgħu viċin iż żona tal Ħonduras iżda l Ħonduras għandu jkun ta' [ 3 stilli ]{""entity"": ""stars""}"
