I'm looking for a place to stay . It needs to be a guesthouse and include free wifi . ||| Qed infittex post fejn noqgħod . Jeħtieġ li tkun guesthouse u tinkludi wifi b'xejn .
There are 23 hotels that meet your needs . Would you like to narrow your search by area and or price range ? ||| Hemm 23 lukanda li jissodisfaw il bżonnijiet tiegħek . Tixtieq tnaqqas it tfittxija tiegħek skont iż żona u jew il firxa tal prezzijiet ?
I would like for it to be cheap and include free parking . ||| Nixtieq li jkun irħis u jinkludi parkeġġ b'xejn .
There are nine guesthouse hotels in various areas . What part of town are you hoping for ? ||| Hemm disa' lukandi guesthouse f'diversi oqsma . Għal liema parti tal belt qed tittama ?
Nothing in particular . I just need it booked for 6 people for a total of 4 nights starting from sunday . I'd also like the reference number , please . ||| Xejn b'mod partikolari . Għandi bżonn biss ibbukkjat għal 6 persuni għal total ta 4 iljieli li jibdew mill Ħadd . Nixtieq ukoll in numru ta' referenza , jekk jogħġbok .
Sure ! We will book you in a hotel with 4 stars . The reservation will be for 6 people for 4 nights . How many rooms would you like to reserve ? ||| Żgur ! Aħna nibbukkjawk f'lukanda b'4 stilel . Ir riservazzjoni tkun għal 6 persuni għal 4 iljieli . Kemm kmamar tixtieq tirriserva ?
Well , for six people I suppose I will be needing three rooms , for four nights , starting Sunday . ||| Tajjeb , għal sitt persuni nissuponi li se nkun qed ikolli bżonn tliet kmamar , għal erbat iljieli , li jibdew il Ħadd .
You're booked at the Alexander Bed and Breakfast , 517a coldham lane , for 6 people for four nights tarting Sunday . Your reference number is JXVKZ7KV . ||| Int ibbukkjat fl Alexander Bed and Breakfast , 517a coldham lane , għal 6 persuni għal erbat iljieli li jibdew il Ħadd . In numru ta' referenza tiegħek huwa JXVKZ7KV .
Thank you ! I'm also looking for a restaurant . Ideally an Italian place in the same price range in the centre . ||| Grazzi ! Qed infittex ukoll restorant . Idealment post Taljan fl istess firxa ta prezzijiet fiċ ċentru .
I found Ask restaurant would you like to book that ? ||| Sibt Staqsi ristorant tixtieq tibbukkja dak ?
Is the name of the restaurant Ask restaurant ? ||| Isem ir ristorant Ask restaurant ?
Yes , the restaurant is called Ask restaurant . Would you like to book a table there ? ||| Iva , ir ristorant jissejjaħ Ask restaurant . Tixtieq tibbukkja mejda hemm ?
Yes . Book it for the same group of people on the same day at 18:45 . Can I get the reference number please ? ||| Iva . Ibbukkjah għall istess grupp ta nies fl istess jum fis 18:45 . Nista 'nikseb in numru ta' referenza jekk jogħġbok ?
Great ! Your booking for 6 people at the restaurant Ask on Sunday at 18:45 was successful ! Your reference number is Y2Y8QYBY . ||| Kbir ! Il booking tiegħek għal 6 persuni fir ristorant Staqsi nhar il Ħadd fis 18:45 kien suċċess ! In numru ta' referenza tiegħek huwa Y2Y8QYBY .
I am all set . Thank you . ||| Jien kollox lest . Grazzi .
Thank you for using the Cambridge TowneInfo Help Desk ! ||| Grazzi talli użajt il Help Desk ta' Cambridge TowneInfo !
I'm looking for a restaurant in Cambridge called Nandos City Centre . ||| Qed infittex restorant f'Cambridge jismu Nandos City Centre .
Nandos city centre is located at 33 34 Saint Andrews Street . ||| Iċ ċentru tal belt ta 'Nandos jinsab fi 33 34 Saint Andrews Street .
