what is the car type that will be picking me up ||| x'inhu t tip ta karozza li se jkun qed jaqbad
what is the car type for the taxi ||| x'inhu t tip ta karozza għall taxi
yes also i will need a taxi to get me between the hotel and the restaurant i will need a contact number and car type with the booking ||| iva wkoll se jkolli bżonn ta' taxi biex nifhem bejn il lukanda u l proponent i se jkollha bżonn ta' numru ta' kuntatt u tip ta' karozza mal lukanda
id just like to book a taxi between the two id like to get to the restaurant by my reservation time and ill need the contact number and car type please ||| ir just like to book a taxi between the two id like to get to the hazard by my reservation time and ill need the contact number and car type please
yes please provide the phone number ||| iva jekk jogħġbok ipprovdi n numru tat telefon
can i get the contact number for the taxi please thanks a lot ||| jista' jkollok in numru ta' kuntatt għall taxi jekk jogħġbok permezz ta' lott
can i get the phone number for the taxi company and the type of car i will be picked up in ||| jista' jiġi akkwistat in numru tat telefon għall kumpanija taxi u t tip ta' karozza jiġi akkwistat
i would like for the taxi arrive by 19:00 please can you give me a contact number and the car type for the taxi as well ||| nixtieq li l taxi jasal għand il proponent jekk jogħġbok , jekk jogħġbok , tista' tagħtini numru ta' kuntatt u t tip ta' karozza għall taxi ukoll .
can i get a contact number for that ||| tista' tieħu numru ta' kuntatt għal dak
i would like to leave the college by 24:30 and can i also have the contact number and car type ||| nixtieq inħalli l kulleġġ sal 24 ta' Settembru30 u jista' jkollu wkoll in numru ta' kuntatt u t tip ta' karozza
i am wanting to leave the restaurant by 11:45 once the taxi is booked can i have the contact number and car type ||| jien irrid inħalli s silġ sal 11: 00 ladarba l taxi jitniżżel fil kotba jista' jkollu n numru ta' kuntatt u t tip ta' karozza
id like to book a taxi at 16:15 from riverside brasserie to sleeperz hotel ill also need the contact number and car type for that ||| jixtieq jirreġistra taxi f 16 il metru jeħtieġ ukoll in numru ta kuntatt u t tip ta karozza għal dak
thanks id like to get a taxi as well leaving the restaurant by 08:15 can i get the contact number and the car type for that please ||| permezz tiegħek tixtieq li jkollok taxi kif ukoll tħalli s silġ sal 08 ta' Settembru tista' tiġbed in numru ta' kuntatt u t tip ta' karozza għal dak jekk jogħġbok
i need the car type please ||| i għandek bżonn it tip ta karozza jekk jogħġbok
im going to need a taxi as well from the hotel to the restaurant that arrives at 16:45 could i get the contact number and car type for that ||| se jkollhom bżonn ta' taxi kif ukoll mill kuntentizza għall kuntentizza li tasal 16 il kuntratt jistgħu jiksbu n numru ta' kuntatt u t tip ta' karozza għal dak il kuntratt .
can you get me the contact phone number please ||| tista' tieħu n numru tat telefon ta' kuntatt jekk jogħġbok
i need to leave the attraction by 24:00 and i need a contact number and car type please ||| i għandek tħalli l attrazzjoni sa 24 sena u i għandek bżonn numru ta' kuntatt u tip ta' karozza jekk jogħġbok
restaurant is what i am looking for entrance fee and postcode please get me a taxi from the attraction by 1015 get me its contact number and car type ||| il Ġerusalemm huwa dak li qed infittex għall miżata tad dħul u għall kodiċi postali jekk jogħġbok iġibni taxi mill attrazzjoni sal 1015 iġibni n numru ta' kuntatt tiegħu u t tip ta' karozza tiegħu
i need a taxi to go between the two places i need a contact number and car type please ||| i need a taxi to go between the two places i need a contact number and car type please
i will need a taxi to get me there and to my hotel please find a taxi that can arrive before my booked time please provide contact info and car type ||| i se jkollok bżonn ta' taxi biex ikolli hemmhekk u biex il kworum tiegħi jekk jogħġbok isib taxi li jista' jasal qabel il ħin fil kotba tiegħi jekk jogħġbok ipprovdi informazzjoni ta' kuntatt u tip ta' karozza
please get me a taxi from the attraction to my restaurant arriving in time for my reservation and give me car type and contact info ||| jekk jogħġbok ħu l taxi mill attrazzjoni sal wasla tiegħi fil ħin għar riżerva tiegħi u agħtih it tip ta' karozza u l info ta' kuntatt
id like to leave at 11:45 can i have the contact number and car type please ||| jixtieq jitlaq fi 11 il jum jista' jkollok in numru ta' kuntatt u t tip ta' karozza jekk jogħġbok
whats the taxis phone number ||| x'inhu n numru tat telefon taxis
i need a cab too please arriving by my booked time car type and contact number would be helpful too please ||| i need a cab too please arriving by my booked time car type and contact number would be helpful too please
thank you for the booking and contact number that will be all for now ||| għandek tgħid għan numru ta' riżerva u kuntatt li għandu jkun kollu għal issa
gonville hotel could i get the contact number and car type please ||| gonvilleanniku jista' jġib in numru ta' kuntatt u t tip ta' karozza jekk jogħġbok
well do i look for a specific make and color car or just jump into a random one does the driver have a phone number ||| ħafna jħarsu lejn xi ħaġa speċifika jew xi ħaġa ħażina f'xi ħaġa każwali , is sewwieq ikollu numru tat telefon
im not psychic so i will need to know what kind of car to look for also the phone number please ||| għalhekk ikolli nkun naf x'tip ta' karozza għandek tħares lejn in numru tat telefon jekk jogħġbok
monday for 2 nights 2 people ill need a reference number also i need a taxi to college by 4:00 i need the contact number and car type ||| jekk għandek bżonn in numru ta' kuntatt u t tip ta' karozza
one more thing can you please give me the taxi contact number ||| wieħed jista' jekk jogħġbok agħtini n numru ta' kuntatt tal taxi
yes it will please make sure it arrives by the booked time and i need the contact number and car type ||| iva , jekk jogħġbok kun żgur li jasal sal ħin reġistrat u neħtieġ in numru ta' kuntatt u t tip ta' karozza
i need to leave the hotel by 23:30 please send me the car type and contact number please ||| i għandek tħalli l vawċer sal 23 ta Settembru30 jekk jogħġbok ibgħatli t tip ta karozza u n numru ta kuntatt jekk jogħġbok
i want to arrive to the college by 12:30 ill be departing from the guesthouse please give me car type and contact info ||| nixtieq nasal għand il kulleġġ mill ġdid meta jkun qed jitlaq mill kamra jekk jogħġbok agħti t tip ta' karozza u l informazzjoni ta' kuntatt tiegħi
sorry yes please book a taxi departing from the cambridge corn exchange back to the hotel by 7:15 i will be needing the car type and contact number ||| Iva , jekk jogħġbok ikteb taxi li jitbiegħed mill iskambju tal ikel għall finijiet tal pont i se jkun jeħtieġ it tip ta karozza u n numru ta kuntatt
can you book a taxi for me to get from christs college to la mimosa ill need to leave christs college by 02:30 please give contact number and car type ||| tista' tikteb taxi biex tiġi minn kulleġġ ta' disinjaturi jekk jogħġbok agħti n numru ta' kuntatt u t tip ta' karozza
i also need to book a taxi to get to the attraction by 3:30 and i will need the contact number and car type ||| għandna bżonn ukoll nippreżentaw taxi biex naslu għall attrazzjoni ta' l uffiċċju u għandna bżonn in numru ta' kuntatt u t tip ta' karozza
i need a taxi to commute between the two places i need to leave the restaurant by 18:15 and need the contact and car type ||| i għandhom bżonn ta' taxi biex jivvjaġġaw bejn iż żewġ postijiet li jkollhom bżonn jitilqu minn fuq il ħoġor sa 18 il sena u jkollhom bżonn il kuntatt u t tip ta' karozza
i need to book a taxi ill be leaving express by holiday inn cambridge by 1:00 and going to the cafe jello gallery ill need the contact number and car type ||| i need to book a taxi ill be leaving express by holiday inn cambridge by 1gaben and going to the Lyric jello tools ill need the contact number and car type
how many stars also the postcode and address i will also need a taxi and want it to arrive by 17:00 contact number and car type ||| kemm il stilla wkoll il kodiċi postali u l indirizz i se jkollhom bżonn ukoll taxi u jridu jaslu skont in numru ta' kuntatt u t tip ta' karozza .
yes im leaving aylesbray lodge and need to be at peking restaurant by 17:00 please get me the contact number and car type ||| iva biex tħalli l lodge tal ħofra jekk jogħġbok iġibni n numru ta' kuntatt u t tip ta' karozza
id like a taxi to pick me up at 23:15 at my hotel then take me to the attraction please give me the car type and contact number ||| id bħala taxi biex inħollu' l fuq fit 23 ta' filgħaxija filgħaxija tiegħi imbagħad ħu le għall attrazzjoni jekk jogħġbok agħtini t tip ta' karozza u n numru ta' kuntatt
i want a taxi to go from the attraction to the restaurant arriving by 17:30 tell me the contact number and car type please ||| nixtieq li l taxi imur mill attrazzjoni għall għarqub li jasal sal għarqub jgħidli n numru ta' kuntatt u t tip ta' karozza jekk jogħġbok
do you have their phone number ||| għandek in numru tat telefon tiegħek
once you make the booking i will need the contact number and car type please ||| ladarba tagħmel il kworum , se jkollok bżonn in numru ta' kuntatt u t tip ta' karozza jekk jogħġbok
no thanks i just need to know the contact number and car type please ||| ma għandekx biss tkun taf in numru ta' kuntatt u t tip ta' karozza jekk jogħġbok
thanks what is their contact number ||| grazzi għan numru ta' kuntatt tagħhom
i need a taxi after the attraction you get contact number and car type ||| i għandek bżonn ta' taxi wara li tieħu n numru ta' kuntatt u t tip ta' karozza
i need the contact number and car type also ||| i għandhom bżonn in numru ta kuntatt u t tip ta karozza wkoll
no thanks i do want a taxi though to go from the hotel to the restaurant arriving by my reservation time tell me the car type and contact number ||| ma nixtieqx permezz ta' taxi għalkemm immur mill lukanda għall proponent li jasal sal ħin ta' riżerva tiegħi jgħiduli t tip ta' karozza u n numru ta' kuntatt
yes i need it for friday 20:00 for 7 people i need a reference number i need a taxi betweentwo places before 20:00 contact and car type ||| iva għandek bżonnha għall kuntatt ma' friday u għat tip ta' karozza
i would like to arrive by 16:45 i will need a contact number and car type as well ||| nixtieq nasal sal 16 ta' Settembru i se jkollu bżonn numru ta' kuntatt u tip ta' karozza wkoll
